International Student Cost Estimate
City,Edmonton
Date Generated,2025-11-17 15:35

FALL & WINTER EXPENSES (8 months)
Category,Monthly Amount (CAD)
Rent,900.00
Groceries,370.00
Internet & Phone,40.00
Dining Out,190.00
Entertainment,38.00
Social Activities,70.00
Shopping,60.00
Miscellaneous,50.00
Total (8 months),13744.00

SUMMER EXPENSES (4 months)
Location,Edmonton
Rent,900.00
Groceries,370.00
Internet & Phone,40.00
Dining Out,190.00
Entertainment,38.00
Social Activities,70.00
Shopping,60.00
Miscellaneous,50.00
Total (4 months),6872.00

ANNUAL SUMMARY
Living Expenses,20616.00
Tuition,33000.00
TOTAL,53616.00
